,RPI,SOS,NC RPI,NC SOS,Avg RPI Ws,Avg RPI Ls,Q1_wins,Q1_loss,Q1_ties,Q2_wins,Q2_loss,Q2_ties,Q3_wins,Q3_loss,Q3_ties,Q4_wins,Q4_loss,Q4_ties,wins,losses,ties,NC_wins,NC_losses,NC_ties,team_name,home_wins,home_losses,home_ties,road_wins,road_losses,neut_wins,neut_losses,neut_ties,conference,conf_wins,conf_losses,conf_ties
0,1,33,2,139,92,41,19,6,,15,4,,3,0,,10,0,,47,10,,23,2,,Wake Forest,29,3,,16,6,2,1,,ACC,22,7,
1,2,1,1,9,71,23,18,16,,8,2,,5,0,,5,0,,36,18,,20,3,,Kentucky,25,6,,11,11,0,1,,SEC,16,14,
2,3,3,14,37,81,48,19,11,,9,3,,5,1,,8,1,,41,16,,19,5,,Arkansas,30,4,,7,9,4,3,,SEC,20,10,
3,4,16,19,147,85,34,21,12,,8,0,,1,1,,14,1,,44,14,,22,3,,Florida,30,6,,11,7,3,1,,SEC,20,10,
4,5,13,4,54,88,30,17,12,,10,2,,7,1,,9,0,,43,15,,23,3,,LSU,28,7,,12,5,3,3,,SEC,19,10,
5,6,6,16,19,72,46,22,9,,12,5,,0,3,,8,0,,42,17,,19,7,,Clemson,24,10,,14,5,4,2,,ACC,20,10,
6,7,5,39,56,72,39,20,14,,11,2,,3,1,,6,1,,40,18,,18,6,,Vanderbilt,25,6,,8,9,7,3,,SEC,19,11,
7,8,4,6,47,96,26,18,15,,4,3,,3,0,,14,1,,39,19,,22,4,,South Carolina,26,7,,9,10,4,2,,SEC,16,13,
8,9,43,15,4,145,50,2,9,,10,4,,10,1,,20,1,,42,15,,14,11,,Indiana State,15,3,,21,7,6,5,,Missouri Valley,24,3,
9,10,56,3,209,117,45,13,7,,13,5,,4,0,,15,0,,45,12,,25,0,,Virginia,32,4,,11,7,2,1,,ACC,19,11,
10,11,14,13,132,98,34,17,14,,6,2,,6,2,,11,1,,40,19,,22,3,,Alabama,27,8,,9,9,4,2,,SEC,16,14,
11,12,24,51,151,100,40,16,12,,9,4,,4,2,,11,0,,40,18,,19,6,,Miami (FL),28,5,,9,13,3,0,,ACC,18,12,
12,13,72,22,28,140,81,2,7,,12,1,,11,2,,20,3,,45,13,,17,8,,Dallas Baptist,26,5,,15,8,4,0,,Conference USA,25,5,
13,14,86,7,13,144,83,9,5,,8,5,,3,1,,24,2,,44,13,,19,8,,Campbell,20,4,,20,9,4,0,,Big South,22,5,
14,15,29,20,53,110,44,16,12,,3,3,,8,2,,14,0,,41,17,,22,7,,Oklahoma State,25,7,,11,7,5,3,,Big 12,15,9,
15,16,17,31,1,102,65,10,9,,14,7,,8,2,,7,1,,39,19,,14,10,,Coastal Carolina,23,10,,14,7,2,2,,Sun Belt,23,7,
16,17,37,65,97,95,58,14,9,,14,6,,3,0,,7,1,,38,16,,14,7,,Stanford,20,7,,17,7,1,2,,Pac-12,23,7,
17,18,31,17,203,113,38,13,14,,7,3,,0,0,,15,1,,35,18,,18,3,,Boston College,13,8,,18,9,4,1,,ACC,16,14,
18,19,8,50,61,77,38,15,16,,12,2,1,2,2,,5,1,,34,21,1,16,6,1,Auburn,23,9,1,8,10,3,2,,SEC,17,13,
19,20,22,45,182,112,35,13,17,,6,1,,3,0,,16,1,,38,19,,22,4,,Tennessee,33,5,,4,12,1,2,,SEC,16,14,
21,21,62,9,12,129,71,4,8,,11,1,,9,5,,21,2,,45,16,,23,9,,East Carolina,29,5,,12,9,4,2,,American Athletic,18,6,
22,22,20,5,117,128,19,10,17,,8,2,,2,0,,15,0,,35,19,,21,2,,North Carolina State,26,7,,7,11,2,1,,ACC,13,16,
23,23,11,53,73,89,51,16,13,,7,5,,0,1,,12,2,,35,21,,19,6,,Duke,24,12,,10,7,1,2,,ACC,16,13,
24,24,83,10,51,134,95,4,5,,11,4,,14,4,,14,2,,43,15,,25,8,,Connecticut,18,4,,18,7,7,4,,Big East,15,5,
25,25,46,18,128,104,71,14,10,,7,1,,7,6,,11,1,,39,18,,24,7,,West Virginia,18,6,,19,10,2,2,,Big 12,15,9,
26,26,47,67,67,114,72,9,5,,13,9,,8,2,,10,1,,40,17,,15,8,,Southern Miss,26,5,,11,10,3,2,,Sun Belt,22,8,
