,Team,SOS,Rank,Opp Record,Opp Win Percent
0,Kentucky,0.6047,1,1858-1093,0.6296
1,Florida State,0.5993,2,1827-1086,0.6272
2,South Carolina,0.5891,3,1875-1211,0.6075
3,Arkansas,0.5887,4,1880-1192,0.6119
4,Vanderbilt,0.5884,5,1906-1255,0.6028
5,Clemson,0.5876,6,1922-1260,0.604
6,Georgia,0.5853,7,1779-1175,0.6021
7,Texas A&M,0.5838,8,1945-1292,0.6008
8,Auburn,0.5834,9,1797-1210,0.5976
9,Mississippi State,0.5834,10,1705-1146,0.5979
10,Duke,0.5814,11,1791-1177,0.6033
11,North Carolina,0.5803,12,1820-1213,0.6001
12,LSU,0.5794,13,1832-1260,0.5924
13,Alabama,0.5784,14,1842-1258,0.5941
14,Oklahoma,0.5714,15,1810-1244,0.5927
15,Coastal Carolina,0.5708,16,1844-1254,0.5952
16,Florida,0.5708,17,1788-1320,0.5752
17,Louisville,0.5694,18,1720-1217,0.5855
18,Pittsburgh,0.569,19,1661-1150,0.5909
19,Ole Miss,0.5678,20,1679-1205,0.5821
20,North Carolina State,0.5669,21,1683-1206,0.5826
21,Tennessee,0.5664,22,1763-1278,0.5797
22,Miami (FL),0.5655,23,1781-1286,0.5807
23,TCU,0.5653,24,1821-1341,0.5758
24,Georgia Tech,0.5641,25,1743-1292,0.5743
25,Virginia Tech,0.5615,26,1608-1209,0.5708
26,Texas,0.5613,27,1829-1330,0.579
27,Oregon,0.5603,28,1654-1215,0.5761
28,Oklahoma State,0.5592,29,1808-1342,0.574
29,Arizona,0.5589,30,1693-1252,0.5746
30,Boston College,0.5572,31,1556-1181,0.5685
31,Missouri,0.5565,32,1601-1236,0.5642
32,Wake Forest,0.5558,33,1675-1314,0.5604
33,California,0.5546,34,1508-1175,0.5618
34,UCLA,0.5541,35,1547-1187,0.5657
35,Tulane,0.5539,36,1780-1301,0.5777
36,Stanford,0.5527,37,1546-1219,0.5589
37,Arizona State,0.5527,38,1586-1242,0.5606
38,UNCW,0.5496,39,1626-1210,0.5733
39,Notre Dame,0.5474,40,1550-1271,0.5494
40,South Florida,0.5459,41,1842-1390,0.5699
41,Baylor,0.5449,42,1654-1312,0.5577
42,Indiana State,0.5448,43,1699-1295,0.5675
43,Texas Tech,0.5442,44,1770-1420,0.5549
44,USC,0.5441,45,1624-1334,0.5489
45,Southern Miss,0.5422,46,1692-1382,0.5504
46,West Virginia,0.5406,47,1655-1402,0.5414
47,Charlotte,0.5405,48,1764-1424,0.5533
48,Elon,0.5399,49,1594-1267,0.5571
49,Liberty,0.5394,50,1752-1367,0.5617
50,Kansas State,0.5386,51,1711-1380,0.5535
51,Georgia Southern,0.5386,52,1639-1360,0.5465
52,Washington,0.5384,53,1431-1160,0.5521
53,Rice,0.5383,54,1726-1409,0.5506
54,Troy,0.5364,55,1741-1426,0.5497
55,Kansas,0.5364,56,1651-1376,0.5454
56,Virginia,0.5363,57,1579-1383,0.5331
57,UAB,0.5356,58,1569-1329,0.5414
58,South Alabama,0.5347,59,1596-1313,0.5486
59,Cal State Fullerton,0.5339,60,1461-1253,0.5382
60,Maryland,0.5333,61,1693-1408,0.5458
61,Ohio State,0.5331,62,1613-1351,0.5442
62,Illinois,0.5329,63,1499-1243,0.5466
63,Indiana,0.5328,64,1666-1399,0.5435
64,Cal Poly,0.5325,65,1549-1301,0.5434
65,UNCG,0.5319,66,1690-1402,0.5466
66,Louisiana,0.5319,67,1742-1495,0.5382
67,Texas State,0.5319,68,1714-1427,0.5457
68,Appalachian State,0.5316,69,1573-1328,0.5422
69,East Carolina,0.5313,70,1777-1557,0.533
70,Dallas Baptist,0.5305,71,1721-1472,0.539
71,Oregon State,0.5298,72,1539-1358,0.5311
72,FAU,0.529,73,1670-1430,0.5387
73,FIU,0.5278,74,1582-1341,0.5412
74,Charleston,0.5268,75,1598-1406,0.532
75,Xavier,0.5266,76,1686-1457,0.5364
76,Minnesota,0.526,77,1463-1233,0.5426
77,Hawaii,0.5253,78,1355-1190,0.5324
78,Louisiana Tech,0.5251,79,1660-1470,0.5304
79,Butler,0.5245,80,1573-1293,0.5488
80,Utah,0.5243,81,1485-1298,0.5336
81,Georgia State,0.524,82,1627-1443,0.53
82,Connecticut,0.5236,83,1573-1373,0.5339
83,Delaware,0.5229,84,1608-1409,0.5329
84,William & Mary,0.5225,85,1594-1371,0.5376
85,Campbell,0.5221,86,1601-1433,0.5277
86,Gonzaga,0.5219,87,1393-1227,0.5316
87,Marshall,0.5218,88,1494-1316,0.5316
88,Washington State,0.5207,89,1355-1251,0.5199
89,UC Santa Barbara,0.5195,90,1478-1336,0.5252
90,Samford,0.5193,91,1642-1468,0.528
91,Michigan,0.5186,92,1514-1384,0.5224
92,San Diego,0.5185,93,1331-1172,0.5318
93,San Diego State,0.518,94,1394-1243,0.5286
94,Monmouth,0.5179,95,1255-1120,0.5284
