,RPI,Team,wins,losses,SOS,Rank,Opp Win Percent,opp_wins,opp_losses
120,121,Abilene Christian,35.0,24.0,0.4938,167,0.4953,1517.0,1546.0
135,136,Air Force,28.0,31.0,0.5035,133,0.5104,1478.0,1418.0
242,243,Akron,20.0,33.0,0.472,218,0.4653,1247.0,1433.0
10,11,Alabama,40.0,19.0,0.5784,14,0.5941,1842.0,1258.0
290,291,Alabama A&M,10.0,34.0,0.4462,272,0.4538,982.0,1182.0
124,125,Alabama State,41.0,18.0,0.4488,265,0.4437,1261.0,1581.0
278,279,Albany,9.5,34.5,0.4834,192,0.4982,1091.0,1099.0
304,305,Alcorn State,5.0,37.0,0.3564,305,0.3353,614.0,1217.0
86,87,Appalachian State,30.0,25.0,0.5316,69,0.5422,1573.0,1328.0
44,45,Arizona,33.0,24.0,0.5589,30,0.5746,1693.0,1252.0
51,52,Arizona State,32.0,23.0,0.5527,38,0.5606,1586.0,1242.0
2,3,Arkansas,41.0,16.0,0.5887,4,0.6119,1880.0,1192.0
231,232,Arkansas State,19.0,31.0,0.5057,130,0.5139,1349.0,1276.0
303,304,Arkansas-Pine Bluff,11.0,33.0,0.3765,304,0.3686,722.0,1237.0
91,92,Army,38.0,16.0,0.4582,252,0.4499,1172.0,1434.0
18,19,Auburn,34.5,21.5,0.5834,9,0.5976,1797.0,1210.0
194,195,Austin Peay,26.0,32.0,0.4843,190,0.4835,1507.0,1610.0
195,196,BYU,24.0,28.0,0.4781,205,0.472,1229.0,1375.0
100,101,Ball State,36.0,21.0,0.4745,213,0.4714,1366.0,1532.0
173,174,Baylor,20.0,35.0,0.5449,42,0.5577,1654.0,1312.0
266,267,Bellarmine,13.0,42.0,0.4834,193,0.4869,1435.0,1512.0
215,216,Belmont,27.0,33.0,0.484,191,0.4797,1485.0,1611.0
171,172,Bethune-Cookman,33.0,27.0,0.4694,228,0.4754,1403.0,1548.0
214,215,Binghamton,29.0,23.0,0.4362,288,0.4219,1044.0,1431.0
17,18,Boston College,35.0,18.0,0.5572,31,0.5685,1556.0,1181.0
230,231,Bowling Green,20.0,30.0,0.4698,227,0.4625,1197.0,1391.0
205,206,Bradley,16.0,32.0,0.5112,117,0.5204,1314.0,1211.0
280,281,Brown,12.0,26.0,0.4471,269,0.45,760.0,929.0
155,156,Bryant,26.0,24.0,0.4657,236,0.4691,1120.0,1268.0
183,184,Bucknell,23.5,23.5,0.4704,225,0.47,1050.0,1184.0
235,236,Butler,12.0,43.0,0.5245,80,0.5488,1573.0,1293.0
166,167,Cal Poly,21.0,35.0,0.5325,65,0.5434,1549.0,1301.0
253,254,Cal State Bakersfield,18.0,34.0,0.4896,177,0.4846,1256.0,1336.0
64,65,Cal State Fullerton,31.0,22.0,0.5339,60,0.5382,1461.0,1253.0
73,74,Cal State Northridge,34.0,17.0,0.4975,155,0.4933,1249.0,1283.0
81,82,California,24.0,28.0,0.5546,34,0.5618,1508.0,1175.0
168,169,California Baptist,28.0,30.0,0.4828,195,0.479,1412.0,1536.0
12,13,Campbell,44.0,13.0,0.5221,86,0.5277,1601.0,1433.0
180,181,Canisius,26.5,25.5,0.4624,245,0.4722,1233.0,1378.0
240,241,Central Arkansas,23.0,31.0,0.4718,219,0.4663,1329.0,1521.0
110,111,Central Connecticut,36.0,12.0,0.4409,281,0.4485,1069.0,1315.0
111,112,Central Michigan,31.0,22.0,0.4792,201,0.4789,1291.0,1405.0
67,68,Charleston,36.0,22.0,0.5268,75,0.532,1598.0,1406.0
172,173,Charleston Southern,22.0,28.0,0.4988,150,0.4962,1311.0,1331.0
66,67,Charlotte,34.0,26.0,0.5405,48,0.5533,1764.0,1424.0
159,160,Cincinnati,24.0,33.0,0.5165,98,0.5202,1608.0,1483.0
5,6,Clemson,43.0,17.0,0.5876,6,0.604,1922.0,1260.0
13,14,Coastal Carolina,39.0,19.0,0.5708,16,0.5952,1844.0,1254.0
131,132,Columbia,23.0,22.0,0.483,194,0.5012,1038.0,1033.0
21,22,Connecticut,43.0,15.0,0.5236,83,0.5339,1573.0,1373.0
276,277,Coppin State,21.0,31.0,0.4197,297,0.4165,1061.0,1487.0
281,282,Cornell,8.0,26.0,0.4542,256,0.4659,718.0,823.0
128,129,Creighton,25.0,24.0,0.5033,134,0.5119,1291.0,1231.0
15,16,Dallas Baptist,45.0,14.0,0.5305,71,0.539,1721.0,1472.0
302,303,Dartmouth,3.0,38.0,0.4574,253,0.4639,886.0,1024.0
217,218,Davidson,30.0,24.0,0.4529,260,0.4401,1224.0,1557.0
190,191,Dayton,26.0,34.0,0.4896,178,0.4987,1555.0,1563.0
105,106,Delaware,30.0,29.0,0.5229,84,0.5329,1608.0,1409.0
294,295,Delaware State,13.0,35.0,0.4292,295,0.4237,1017.0,1384.0
24,25,Duke,35.0,21.0,0.5814,11,0.6033,1791.0,1177.0
25,26,East Carolina,45.0,17.0,0.5313,70,0.533,1777.0,1557.0
177,178,East Tennessee State,26.0,29.0,0.4892,179,0.4869,1417.0,1493.0
113,114,Eastern Illinois,36.0,19.0,0.4442,276,0.4283,1197.0,1598.0
178,179,Eastern Kentucky,29.0,30.0,0.4766,207,0.4694,1473.0,1665.0
185,186,Eastern Michigan,26.0,26.0,0.4636,239,0.4587,1209.0,1427.0
58,59,Elon,33.0,22.0,0.5399,49,0.5571,1594.0,1267.0
71,72,Evansville,37.0,24.0,0.5138,105,0.5229,1644.0,1500.0
79,80,FAU,34.0,25.0,0.529,73,0.5387,1670.0,1430.0
57,58,FGCU,42.0,18.0,0.497,157,0.4919,1570.0,1622.0
196,197,FIU,21.0,34.0,0.5278,74,0.5412,1582.0,1341.0
118,119,Fairfield,37.0,18.0,0.4477,267,0.4451,1220.0,1522.0
254,255,Fairleigh Dickinson,31.5,21.5,0.3959,302,0.3692,963.0,1645.0
3,4,Florida,44.0,14.0,0.5708,17,0.5752,1788.0,1320.0
152,153,Florida A&M,29.0,28.0,0.496,159,0.5326,1488.0,1306.0
60,61,Florida State,23.0,31.0,0.5993,2,0.6272,1827.0,1086.0
258,259,Fordham,19.0,36.0,0.4786,203,0.4905,1388.0,1442.0
174,175,Fresno State,30.0,27.0,0.4798,199,0.4772,1320.0,1446.0
150,151,Gardner-Webb,31.0,25.0,0.4824,196,0.4775,1378.0,1508.0
175,176,George Mason,34.0,25.0,0.4539,258,0.4511,1338.0,1629.0
224,225,George Washington,21.0,34.0,0.4947,163,0.5119,1487.0,1418.0
132,133,Georgetown,30.0,27.0,0.4903,175,0.4981,1467.0,1478.0
41,42,Georgia,29.0,27.0,0.5853,7,0.6021,1779.0,1175.0
102,103,Georgia Southern,27.0,29.0,0.5386,52,0.5465,1639.0,1360.0
97,98,Georgia State,31.0,28.0,0.524,82,0.53,1627.0,1443.0
62,63,Georgia Tech,30.0,27.0,0.5641,25,0.5743,1743.0,1292.0
197,198,Gonzaga,18.0,34.0,0.5219,87,0.5316,1393.0,1227.0
260,261,Grambling State,28.0,26.0,0.4099,301,0.4207,1027.0,1414.0
70,71,Grand Canyon,37.0,21.0,0.5121,112,0.5211,1590.0,1461.0
299,300,Hartford,4.0,33.0,0.4709,222,0.4836,915.0,977.0
234,235,Harvard,20.0,24.0,0.4501,262,0.4431,869.0,1092.0
72,73,Hawaii,29.0,20.0,0.5253,78,0.5324,1355.0,1190.0
204,205,High Point,20.0,34.0,0.5143,104,0.5236,1484.0,1350.0
121,122,Hofstra,26.0,26.0,0.5002,144,0.5062,1356.0,1323.0
284,285,Holy Cross,16.0,35.0,0.4407,282,0.4356,1042.0,1351.0
101,102,Houston,36.0,23.0,0.4945,164,0.482,1510.0,1623.0
255,256,Houston Christian,11.0,37.0,0.5105,119,0.5176,1307.0,1218.0
94,95,Illinois,25.0,27.0,0.5329,63,0.5466,1499.0,1243.0
201,202,Illinois State,20.0,30.0,0.4875,182,0.4852,1259.0,1336.0
146,147,Incarnate Word,28.0,26.0,0.492,173,0.4975,1372.0,1386.0
29,30,Indiana,41.0,18.0,0.5328,64,0.5435,1666.0,1399.0
8,9,Indiana State,42.0,15.0,0.5448,43,0.5675,1699.0,1295.0
285,286,Iona,13.0,38.0,0.4467,270,0.4404,1125.0,1431.0
31,32,Iowa,38.0,14.0,0.5166,96,0.5295,1425.0,1266.0
259,260,Jackson State,23.0,25.0,0.43,294,0.4396,1019.0,1299.0
126,127,Jacksonville,34.0,24.0,0.4902,176,0.4936,1504.0,1543.0
179,180,Jacksonville State,27.0,30.0,0.4929,169,0.4909,1489.0,1544.0
99,100,James Madison,31.0,25.0,0.5081,123,0.5101,1490.0,1431.0
108,109,Kansas,25.0,32.0,0.5364,56,0.5454,1651.0,1376.0
54,55,Kansas State,35.0,24.0,0.5386,51,0.5535,1711.0,1380.0
