,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
0,1,Tennessee  SEC (22-8),49-11,24,24-2,17,176,35-3,9-6,5-2,20-9,8-1,2-0,19-1,+4
1,2,Texas A&M  SEC (19-11),44-13,13,25-0,1,116,32-3,9-8,3-2,17-13,5-0,4-0,18-0,-1
2,3,Kentucky  SEC (22-8),40-14,6,17-4,23,81,21-6,16-5,3-3,22-9,6-2,5-2,7-1,
3,4,North Carolina  ACC (22-8),42-13,15,19-4,16,39,32-2,9-8,1-3,8-9,6-3,16-1,12-0,
4,5,Arkansas  SEC (20-10),43-14,11,23-2,3,41,33-3,7-8,3-3,13-12,8-2,6-0,16-0,-3
5,6,Georgia  SEC (17-13),39-15,9,22-1,4,103,29-5,8-9,2-1,13-10,9-3,2-0,15-2,
6,7,Clemson  ACC (20-10),41-14,17,20-3,6,24,27-6,10-7,4-1,10-8,12-2,13-4,6-0,
7,8,Florida State  ACC (17-12),42-15,26,22-2,7,74,27-4,8-10,7-1,8-8,8-5,12-1,14-1,
8,9,Wake Forest  ACC (15-15),38-20,8,21-4,10,58,25-7,10-11,3-2,8-14,10-4,7-2,13-0,+2
9,10,Indiana State  Missouri Valley (22-5),42-13,75,17-6,5,19,16-2,17-9,9-2,3-6,7-2,19-4,13-1,-1
10,11,Oklahoma State  Big 12 (19-9),40-17,28,17-7,43,118,21-5,12-10,7-2,11-12,9-3,8-0,12-2,+6
11,12,Virginia  ACC (18-12),41-15,27,22-2,9,102,26-7,11-5,4-3,8-8,10-5,11-1,12-1,
12,13,UC Santa Barbara  Big West (26-4),42-12,99,16-8,39,125,25-0,16-12,1-0,3-3,8-4,8-4,23-1,-3
13,14,Oklahoma  Big 12 (23-7),37-19,10,11-11,73,6,18-10,14-5,5-4,10-6,13-7,6-4,8-2,+1
14,15,North Carolina State  ACC (18-11),33-20,3,14-8,58,35,25-7,7-12,1-1,12-15,4-2,8-3,9-0,-1
15,16,Duke  ACC (16-14),39-18,21,19-4,46,214,22-10,11-8,6-0,13-12,7-3,6-0,13-3,+4
16,17,Dallas Baptist  Conference USA (17-7),44-13,79,23-6,20,61,25-5,13-7,6-1,9-2,5-9,10-1,20-1,+4
17,18,Oregon State  Pac-12 (19-10),42-14,78,22-3,8,77,24-2,9-10,9-2,4-3,4-6,18-4,16-1,-5
18,19,San Diego  West Coast (20-4),40-13,90,17-9,15,8,18-4,18-9,4-0,3-7,7-4,6-0,24-2,+4
19,20,Vanderbilt  SEC (13-17),38-21,12,22-3,32,174,27-8,4-12,7-1,10-17,6-1,5-0,17-3,+7
20,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
21,21,LSU  SEC (13-17),40-20,18,23-3,26,142,27-9,6-11,7-0,10-13,12-5,4-0,14-2,+9
22,22,South Carolina  SEC (13-17),36-23,5,20-4,29,140,22-10,9-10,5-3,15-20,3-1,4-1,14-1,-3
23,23,East Carolina  American Athletic (19-8),43-15,70,21-5,2,9,26-4,13-9,4-2,5-2,6-7,12-3,20-3,-7
24,24,Alabama  SEC (13-17),33-22,7,20-4,34,159,22-8,8-12,3-2,15-20,2-0,3-1,13-1,-6
25,25,Mississippi State  SEC (17-13),38-21,14,19-6,52,131,25-9,8-9,5-3,16-14,4-1,7-1,11-5,-3
26,26,Southern Miss  Sun Belt (20-10),41-18,46,17-8,33,20,25-6,12-9,4-3,8-8,11-4,8-2,14-4,+8
27,27,UC Irvine  Big West (22-8),43-12,110,21-4,18,123,20-7,20-5,3-0,4-1,6-2,15-6,18-3,-2
28,28,Nebraska  Big Ten (16-8),39-20,38,18-11,31,12,18-8,15-9,6-3,3-1,15-12,15-5,6-2,+3
