,Team,SOS,Rank,Opp Record,Opp Win Percent
0,Florida,0.6079,1,1880-1064,0.6384
1,Ole Miss,0.6065,2,1905-1080,0.6381
2,North Carolina State,0.589,3,1704-1075,0.613
3,Auburn,0.587,4,1738-1128,0.6064
4,South Carolina,0.5847,5,1871-1245,0.6004
5,Kentucky,0.5829,6,1739-1176,0.5966
6,Alabama,0.5824,7,1784-1168,0.6043
7,Wake Forest,0.5822,8,1822-1200,0.6029
8,Georgia,0.5778,9,1708-1171,0.5931
9,Oklahoma,0.5775,10,1788-1190,0.6003
10,Arkansas,0.5769,11,1789-1257,0.5873
11,Vanderbilt,0.5758,12,1865-1297,0.5898
12,Texas A&M,0.5741,13,1786-1264,0.5856
13,Mississippi State,0.5722,14,1833-1306,0.5838
14,North Carolina,0.5712,15,1678-1187,0.5857
15,Miami (FL),0.569,16,1735-1226,0.586
16,Clemson,0.5682,17,1672-1227,0.5767
17,LSU,0.5676,18,1846-1360,0.5757
18,Xavier,0.567,19,1781-1209,0.5955
19,Boston College,0.5665,20,1617-1159,0.5825
20,Duke,0.5657,21,1705-1258,0.5754
21,Coastal Carolina,0.5643,22,1779-1305,0.5767
22,Georgia Tech,0.5621,23,1589-1197,0.5704
23,Tennessee,0.5618,24,1797-1374,0.5666
24,Missouri,0.5618,25,1686-1254,0.5734
25,Florida State,0.5614,26,1698-1293,0.5677
26,Virginia,0.5596,27,1677-1286,0.566
27,Oklahoma State,0.5582,28,1718-1307,0.5679
28,Texas,0.5574,29,1698-1291,0.568
29,Kansas State,0.5565,30,1667-1265,0.5685
30,Arizona,0.5556,31,1706-1263,0.5745
31,TCU,0.5544,32,1599-1252,0.5609
32,Louisville,0.5535,33,1641-1291,0.5597
33,Pittsburgh,0.5525,34,1609-1245,0.5637
34,Georgia Southern,0.5518,35,1751-1366,0.5616
35,Liberty,0.5515,36,1763-1314,0.573
36,Old Dominion,0.5514,37,1695-1324,0.5614
37,Nebraska,0.5501,38,1694-1314,0.563
38,Indiana,0.5491,39,1690-1323,0.5609
39,Texas Tech,0.5489,40,1718-1349,0.5602
40,UCF,0.5482,41,1594-1258,0.5588
41,James Madison,0.5479,42,1671-1308,0.5608
42,West Virginia,0.5467,43,1592-1296,0.5512
43,Baylor,0.5463,44,1573-1254,0.5563
44,USC,0.546,45,1729-1354,0.5607
45,Southern Miss,0.5453,46,1750-1417,0.5525
46,Connecticut,0.545,47,1593-1248,0.5607
47,Michigan State,0.5449,48,1502-1165,0.5631
48,Ohio State,0.5438,49,1605-1301,0.5523
49,South Alabama,0.5427,50,1667-1341,0.5541
50,Georgia State,0.5422,51,1655-1362,0.5485
51,Cincinnati,0.5399,52,1620-1352,0.5451
52,Houston,0.5398,53,1558-1286,0.5478
53,Charlotte,0.5394,54,1693-1383,0.5504
54,Marshall,0.5386,55,1608-1315,0.55
55,UNCW,0.5373,56,1635-1365,0.545
56,Michigan,0.5365,57,1669-1373,0.5486
57,Notre Dame,0.5364,58,1461-1275,0.534
58,Northwestern,0.5359,59,1494-1234,0.5477
59,Kansas,0.5355,60,1497-1300,0.5352
60,Arizona State,0.5353,61,1634-1374,0.5432
61,BYU,0.5349,62,1474-1283,0.5346
62,Maryland,0.5345,63,1593-1361,0.5392
63,Louisiana,0.5336,64,1689-1429,0.5417
64,Virginia Tech,0.5335,65,1472-1315,0.5282
65,Rutgers,0.5329,66,1482-1257,0.541
66,Texas State,0.5325,67,1623-1393,0.5381
67,Elon,0.5323,68,1503-1225,0.551
68,Stanford,0.5316,69,1524-1322,0.5355
69,East Carolina,0.5309,70,1631-1433,0.5323
70,UCLA,0.5307,71,1451-1256,0.536
71,FIU,0.5307,72,1632-1371,0.5435
72,UNCG,0.5306,73,1535-1277,0.5459
73,Illinois,0.5305,74,1484-1269,0.539
74,Indiana State,0.5303,75,1576-1340,0.5404
75,Wichita State,0.53,76,1738-1500,0.5367
76,Rice,0.5294,77,1670-1425,0.5396
77,Oregon State,0.5282,78,1535-1325,0.5366
78,Dallas Baptist,0.5279,79,1618-1418,0.5329
79,Washington,0.5278,80,1421-1244,0.5332
80,Mercer,0.5278,81,1634-1388,0.5407
81,Louisiana Tech,0.527,82,1731-1525,0.5316
82,Purdue,0.5262,83,1528-1335,0.5336
83,Campbell,0.5247,84,1449-1277,0.5315
84,Jacksonville State,0.5239,85,1488-1305,0.5328
85,Sam Houston State,0.5235,86,1618-1429,0.531
86,Oregon,0.5227,87,1497-1336,0.5284
87,Troy,0.522,88,1605-1436,0.5277
88,Missouri State,0.5213,89,1600-1413,0.5309
89,San Diego,0.5211,90,1458-1306,0.5275
90,Georgetown,0.5207,91,1530-1374,0.5268
91,Towson,0.5204,92,1481-1280,0.5364
92,Northwestern State,0.5203,93,1514-1312,0.5357
93,East Tennessee State,0.5201,94,1520-1344,0.5307
94,Nicholls,0.5195,95,1516-1302,0.538
95,Western Carolina,0.5194,96,1479-1317,0.529
96,Cal State Fullerton,0.5193,97,1480-1330,0.5267
97,Tulane,0.5184,98,1618-1459,0.5258
98,UC Santa Barbara,0.5159,99,1454-1330,0.5222
99,California,0.5158,100,1465-1398,0.5117
100,South Florida,0.5158,101,1538-1407,0.5222
101,New Mexico State,0.5157,102,1495-1350,0.5254
102,Cal State Northridge,0.5157,103,1458-1319,0.525
103,Rhode Island,0.5147,104,1274-1120,0.5322
104,McNeese,0.5141,105,1540-1381,0.5272
105,San Diego State,0.514,106,1432-1273,0.5294
106,Fordham,0.514,107,1435-1259,0.5326
107,Northeastern,0.5134,108,1455-1375,0.5141
108,Appalachian State,0.5133,109,1495-1429,0.5113
109,UC Irvine,0.5131,110,1460-1356,0.5184
110,Air Force,0.513,111,1471-1313,0.5283
111,Charleston,0.5121,112,1459-1395,0.5112
112,New Orleans,0.5121,113,1476-1354,0.5216
113,Hofstra,0.5118,114,1519-1404,0.5197
114,Hawaii,0.5108,115,1271-1243,0.5056
115,Penn State,0.5102,116,1357-1297,0.5113
116,ULM,0.5101,117,1506-1436,0.5119
117,Evansville,0.51,118,1573-1480,0.5152
118,Charleston Southern,0.5086,119,1419-1290,0.5238
119,Wofford,0.5081,120,1507-1452,0.5093
120,Butler,0.5078,121,1478-1366,0.5196
121,Iowa,0.5074,122,1328-1331,0.4994
122,Saint John's,0.5073,123,1400-1362,0.5069
123,Gonzaga,0.5066,124,1379-1338,0.5075
124,Utah,0.5066,125,1448-1426,0.5038
125,South Carolina Upstate,0.5065,126,1545-1480,0.5107
126,Samford,0.5065,127,1483-1481,0.5003
