,RPI,Team,wins,losses,SOS,Rank,Opp Win Percent,opp_wins,opp_losses,opp_opp_win_pct
152,153,Abilene Christian,33.0,25.0,0.474,211,0.4693,1427.0,1614.0,0.48339999999999994
113,114,Air Force,27.0,28.0,0.513,111,0.5283,1471.0,1313.0,0.48240000000000016
267,268,Akron,15.0,39.0,0.4809,195,0.4783,1340.0,1462.0,0.48609999999999987
23,24,Alabama,33.0,22.0,0.5824,7,0.6043,1784.0,1168.0,0.5386000000000002
297,298,Alabama A&M,10.0,38.0,0.4335,291,0.4476,1037.0,1280.0,0.4053
260,261,Alabama State,29.0,27.0,0.4199,296,0.4167,1090.0,1526.0,0.4263
286,287,Albany,15.5,34.5,0.4571,256,0.4629,1147.0,1331.0,0.4455
302,303,Alcorn State,6.0,42.0,0.4096,302,0.4138,893.0,1265.0,0.4012000000000001
69,70,Appalachian State,33.5,21.5,0.5133,109,0.5113,1495.0,1429.0,0.5172999999999999
30,31,Arizona,36.0,21.0,0.5556,31,0.5745,1706.0,1263.0,0.5177999999999998
86,87,Arizona State,32.0,26.0,0.5353,61,0.5432,1634.0,1374.0,0.5195000000000001
4,5,Arkansas,43.0,14.0,0.5769,11,0.5873,1789.0,1257.0,0.5560999999999998
215,216,Arkansas State,21.5,32.5,0.4972,153,0.4981,1420.0,1431.0,0.49540000000000006
304,305,Arkansas-Pine Bluff,9.0,34.0,0.3771,305,0.3623,708.0,1247.0,0.40669999999999995
124,125,Army,31.0,21.0,0.4814,191,0.482,1172.0,1260.0,0.48019999999999996
48,49,Auburn,27.0,26.0,0.587,4,0.6064,1738.0,1128.0,0.5481999999999998
153,154,Austin Peay,35.0,21.0,0.4475,270,0.432,1270.0,1670.0,0.47850000000000004
130,131,BYU,21.0,31.0,0.5349,62,0.5346,1474.0,1283.0,0.5355000000000003
116,117,Ball State,35.5,23.5,0.471,221,0.464,1403.0,1621.0,0.48499999999999976
138,139,Baylor,22.0,31.0,0.5463,44,0.5563,1573.0,1254.0,0.5263
294,295,Bellarmine,10.0,45.0,0.4763,207,0.4785,1402.0,1528.0,0.4719000000000001
168,169,Belmont,26.0,32.0,0.5037,135,0.5109,1564.0,1497.0,0.48930000000000007
223,224,Bethune-Cookman,32.0,27.0,0.4454,272,0.4533,1260.0,1520.0,0.4296000000000001
244,245,Binghamton,21.0,29.0,0.4563,259,0.4478,1088.0,1342.0,0.47330000000000005
90,91,Boston College,22.0,31.0,0.5665,20,0.5825,1617.0,1159.0,0.5345
100,101,Bowling Green,33.0,20.0,0.4712,220,0.4678,1285.0,1462.0,0.478
258,259,Bradley,12.5,37.5,0.4927,167,0.4989,1316.0,1322.0,0.48029999999999995
284,285,Brown,11.0,28.0,0.4629,246,0.4764,828.0,910.0,0.43590000000000007
114,115,Bryant,36.0,19.0,0.453,264,0.4516,1174.0,1426.0,0.4558
181,182,Bucknell,22.0,24.0,0.4788,200,0.4789,1038.0,1130.0,0.4785999999999999
197,198,Butler,20.0,35.0,0.5078,121,0.5196,1478.0,1366.0,0.4842000000000002
105,106,Cal Poly,35.0,22.0,0.499,148,0.4944,1442.0,1475.0,0.5081999999999999
272,273,Cal State Bakersfield,15.0,38.0,0.4945,164,0.4967,1355.0,1373.0,0.4901000000000001
236,237,Cal State Fullerton,16.0,38.0,0.5193,97,0.5267,1480.0,1330.0,0.5045000000000002
91,92,Cal State Northridge,30.0,24.0,0.5157,103,0.525,1458.0,1319.0,0.4971000000000001
62,63,California,36.0,19.0,0.5158,100,0.5117,1465.0,1398.0,0.524
128,129,California Baptist,38.0,24.0,0.4759,208,0.473,1521.0,1695.0,0.4817
82,83,Campbell,31.0,22.0,0.5247,84,0.5315,1449.0,1277.0,0.5111000000000001
251,252,Canisius,18.0,30.0,0.4529,265,0.4518,1104.0,1340.0,0.45510000000000006
206,207,Central Arkansas,26.0,30.0,0.4809,196,0.4814,1443.0,1555.0,0.4798999999999999
278,279,Central Connecticut,18.0,24.0,0.4338,290,0.4376,928.0,1193.0,0.42620000000000013
276,277,Central Michigan,14.0,38.0,0.4737,213,0.472,1268.0,1419.0,0.4771000000000001
