KPI,Logo,Team,Conf Logo,Conf,KPI #,W/L,W/L Conf,W/L Home,W/L AN ,High Game,Low Game,Conf KPI,Conf KPI Rank,Seed,SOS,SOS Rk
1,,Tennessee,,SEC,0.497,49 - 11,22 - 8,35 - 3,14 - 8,1.25  (H) Georgia,-0.56  (H) Lipscomb,,,,0.144,33
2,,Kentucky,,SEC,0.469,40 - 14,22 - 8,21 - 6,19 - 8,1.23  (H) Georgia,-0.40  (N) Washington State,,,,0.196,5
3,,Texas A&M,,SEC,0.467,44 - 13,19 - 11,32 - 3,12 - 10,1.22  (H) Vanderbilt,-0.08  @ Mississippi,,,,0.172,14
4,,Arkansas,,SEC,0.425,43 - 14,20 - 10,33 - 3,10 - 11,1.19  @ Kentucky,-0.07  (H) James Madison,,,,0.18,10
5,,North Carolina,,ACC,0.424,42 - 13,22 - 8,32 - 2,10 - 11,1.07  @ North Carolina State,-0.17  @ Miami (FL),,,,0.152,24
6,,Georgia,,SEC,0.414,39 - 15,17 - 13,29 - 5,10 - 10,1.42  @ Tennessee,-0.25  (H) Michigan State,,,,0.18,11
7,,Clemson,,ACC,0.41,41 - 14,20 - 10,27 - 6,14 - 8,1.13  (H) Florida State,-0.21  (H) Kennesaw State,,,,0.164,18
8,,Florida State,,ACC,0.396,42 - 14,17 - 12,27 - 4,15 - 10,1.02  (H) North Carolina State,-0.22  (H) Mercer,,,,0.15,26
9,,Virginia,,ACC,0.387,41 - 15,18 - 12,26 - 7,15 - 8,1.13  (H) North Carolina,-0.45  (H) Massachusetts,,,,0.151,25
10,,Mississippi State,,SEC,0.366,38 - 21,17 - 13,25 - 9,13 - 12,1.18  @ Texas A&M,-0.40  (H) Central Arkansas,,,,0.172,16
11,,Oklahoma State,,Big 12,0.365,40 - 17,19 - 9,21 - 5,19 - 12,1.04  @ Oklahoma,-0.76  (H) Utah Tech,,,,0.146,31
12,,Wake Forest,,ACC,0.364,38 - 20,15 - 15,26 - 7,12 - 13,1.18  (H) Clemson,-0.37  @ Elon,,,,0.183,8
13,,Oklahoma,,Big 12,0.363,37 - 19,23 - 7,18 - 11,19 - 8,1.01  (H) UCF,-0.45  @ Oral Roberts,,,,0.173,13
